Customer ID,Age,Gender,Purchase Amount (USD),Location,Season,Subscription Status,Payment Method,Previous Purchases,Preferred Payment Method,Frequency of Purchases
1,55,Male,53,Kentucky,Winter,Yes,Credit Card,14,Venmo,Fortnightly
2,19,Male,64,Maine,Winter,Yes,Bank Transfer,2,Cash,Fortnightly
3,50,Male,73,Massachusetts,Spring,Yes,Cash,23,Credit Card,Weekly
4,21,Male,90,Rhode Island,Spring,Yes,PayPal,49,PayPal,Weekly
5,45,Male,49,Oregon,Spring,Yes,Cash,31,PayPal,Annually
6,46,Male,20,Wyoming,Summer,Yes,Venmo,14,Venmo,Weekly
7,63,Male,85,Montana,Fall,Yes,Debit Card,49,Cash,Quarterly
8,27,Male,34,Louisiana,Winter,Yes,Debit Card,19,Credit Card,Weekly
9,26,Male,97,West Virginia,Summer,Yes,Venmo,8,Venmo,Annually
10,57,Male,31,Missouri,Spring,Yes,PayPal,4,Cash,Quarterly
11,53,Male,34,Arkansas,Fall,Yes,Credit Card,26,Bank Transfer,Bi-Weekly
12,30,Male,68,Hawaii,Winter,Yes,PayPal,10,Bank Transfer,Fortnightly
13,61,Male,72,Delaware,Winter,Yes,PayPal,37,Venmo,Fortnightly
14,65,Male,51,New Hampshire,Spring,Yes,Debit Card,31,PayPal,Weekly
15,64,Male,53,New York,Winter,Yes,PayPal,34,Debit Card,Weekly
16,64,Male,81,Rhode Island,Winter,Yes,Credit Card,8,PayPal,Monthly
17,25,Male,36,Alabama,Spring,Yes,Venmo,44,Debit Card,Bi-Weekly
18,53,Male,38,Mississippi,Winter,Yes,Debit Card,36,Venmo,Quarterly
19,52,Male,48,Montana,Summer,Yes,Bank Transfer,17,Cash,Weekly
20,66,Male,90,Rhode Island,Summer,Yes,Venmo,46,Debit Card,Bi-Weekly
21,21,Male,51,Louisiana,Winter,Yes,Credit Card,50,Cash,Every 3 Months
22,31,Male,62,North Carolina,Winter,Yes,Credit Card,22,Debit Card,Quarterly
23,56,Male,37,California,Summer,Yes,Cash,32,Debit Card,Annually
24,31,Male,88,Oklahoma,Winter,Yes,Credit Card,40,Credit Card,Weekly
25,18,Male,22,Florida,Fall,Yes,Cash,16,Debit Card,Weekly
26,18,Male,25,Texas,Summer,Yes,Bank Transfer,14,PayPal,Annually
27,38,Male,20,Nevada,Spring,Yes,Cash,13,Credit Card,Annually
28,56,Male,56,Kentucky,Summer,Yes,Debit Card,7,Bank Transfer,Every 3 Months
29,54,Male,94,North Carolina,Fall,Yes,Debit Card,41,PayPal,Every 3 Months
30,31,Male,48,Wyoming,Fall,Yes,Venmo,14,Credit Card,Weekly
31,57,Male,31,North Carolina,Winter,Yes,Bank Transfer,16,Credit Card,Monthly
32,33,Male,79,West Virginia,Winter,Yes,Venmo,45,Venmo,Monthly
33,36,Male,67,Kansas,Summer,Yes,Bank Transfer,37,Venmo,Annually
34,54,Male,38,Colorado,Summer,Yes,Venmo,45,Cash,Quarterly
35,36,Male,91,North Dakota,Spring,Yes,Debit Card,38,PayPal,Quarterly
36,54,Male,33,Massachusetts,Summer,Yes,Bank Transfer,48,Credit Card,Bi-Weekly
37,35,Male,69,Illinois,Winter,Yes,Cash,44,PayPal,Fortnightly
38,35,Male,45,Indiana,Summer,Yes,Debit Card,10,PayPal,Weekly
39,29,Male,37,Florida,Winter,Yes,Debit Card,44,Venmo,Every 3 Months
40,70,Male,60,Arizona,Summer,Yes,Bank Transfer,18,Credit Card,Monthly
41,69,Male,76,Louisiana,Winter,Yes,PayPal,31,Debit Card,Quarterly
42,67,Male,39,Alaska,Spring,Yes,Cash,40,Venmo,Annually
43,20,Male,100,Tennessee,Spring,Yes,Bank Transfer,15,PayPal,Annually
44,25,Male,69,Ohio,Fall,Yes,PayPal,19,PayPal,Fortnightly
45,39,Male,53,Kentucky,Summer,Yes,Bank Transfer,45,PayPal,Weekly
46,50,Male,21,Tennessee,Fall,Yes,Venmo,25,PayPal,Annually
47,57,Male,43,California,Summer,Yes,Venmo,45,Cash,Quarterly
48,55,Male,54,Montana,Winter,Yes,Debit Card,36,Cash,Weekly
49,42,Male,55,Nevada,Summer,Yes,Debit Card,38,Cash,Monthly
50,68,Male,30,New Jersey,Spring,Yes,Bank Transfer,34,Debit Card,Bi-Weekly
51,49,Male,28,Maryland,Spring,Yes,Cash,39,Debit Card,Bi-Weekly
52,59,Male,59,Vermont,Winter,Yes,PayPal,7,Credit Card,Quarterly
53,42,Male,20,Alaska,Summer,Yes,Credit Card,26,Credit Card,Weekly
54,29,Male,24,Mississippi,Winter,Yes,Debit Card,35,Credit Card,Weekly
55,47,Male,94,New Mexico,Summer,Yes,Bank Transfer,35,Debit Card,Bi-Weekly
56,40,Male,28,South Carolina,Winter,Yes,Venmo,49,Credit Card,Annually
57,41,Male,73,Mississippi,Summer,Yes,PayPal,46,Credit Card,Weekly
58,21,Male,64,West Virginia,Summer,Yes,PayPal,17,Debit Card,Fortnightly
59,69,Male,54,Missouri,Summer,Yes,Credit Card,29,Venmo,Monthly
60,63,Male,79,Louisiana,Spring,Yes,Debit Card,4,Debit Card,Weekly
61,50,Male,37,Idaho,Summer,Yes,Credit Card,17,Cash,Weekly
62,55,Male,68,Texas,Winter,Yes,Bank Transfer,21,Credit Card,Every 3 Months
63,30,Male,21,Mississippi,Spring,Yes,Credit Card,31,Credit Card,Fortnightly
64,33,Male,79,Arizona,Winter,Yes,Credit Card,43,Credit Card,Weekly
